old_path,new_path,date,bic,format,status
"to_check/archive/original_snapshot/20241016_sepa_ct_zw_c.xml","to_check/archive/original_snapshot/20241016_DEUTNL2AXXX_PAIN00100109.xml","20241016","DEUTNL2AXXX","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/20241016_sepa_ct_zw_d.xml","to_check/archive/original_snapshot/20241016_HYVEDEMM473_PAIN00800108.xml","20241016","HYVEDEMM473","PAIN00800108","RENAMED"
"to_check/archive/original_snapshot/20250121_1000_P2S_940_SEPA_CT.xml","to_check/archive/original_snapshot/20250121_SOLADES1RWL_PAIN00100109.xml","20250121","SOLADES1RWL","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/20250121_1000_P2S_940_SEPA_CT_2.xml","to_check/archive/original_snapshot/20250123_GENODES1VRW_PAIN00100109.xml","20250123","GENODES1VRW","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/20250121_1000_P2S_940_SEPA_DD.xml","to_check/archive/original_snapshot/20250123_SOLADES1RWL_PAIN00800108.xml","20250123","SOLADES1RWL","PAIN00800108","RENAMED"
"to_check/archive/original_snapshot/20250121_1000_P2S_940_SEPA_DD_2 (1).xml","to_check/archive/original_snapshot/20250123_SOLADES1RWL_PAIN00800108_1.xml","20250123","SOLADES1RWL","PAIN00800108","RENAMED"
"to_check/archive/original_snapshot/20250121_1000_P2S_940_SEPA_DD_2.xml","to_check/archive/original_snapshot/20250123_SOLADES1RWL_PAIN00800108_2.xml","20250123","SOLADES1RWL","PAIN00800108","RENAMED"
"to_check/archive/original_snapshot/20250121_1000_P2S_940_SEPA_DD_2_DiskStation_Sep-01-1357-2025_DownloadConflict.xml","to_check/archive/original_snapshot/20250123_SOLADES1RWL_PAIN00800108_3.xml","20250123","SOLADES1RWL","PAIN00800108","RENAMED"
"to_check/archive/original_snapshot/20250121_1020_P2D_950_SEPA_CT.xml","to_check/archive/original_snapshot/20250121_SOLADES1RWL_PAIN00100109_1.xml","20250121","SOLADES1RWL","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/20250121_1020_P2D_950_SEPA_DD.xml","to_check/archive/original_snapshot/20250123_SOLADES1RWL_PAIN00800108_4.xml","20250123","SOLADES1RWL","PAIN00800108","RENAMED"
"to_check/archive/original_snapshot/20250217-A_I_P2D_a.xml","to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102.xml","20250218","SOLADES1RWL","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/20250409_SEPA_DD.xml","to_check/archive/original_snapshot/20250410_SOLADES1RWL_PAIN00800102.xml","20250410","SOLADES1RWL","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/20250527_sepa_dd.xml","to_check/archive/original_snapshot/20250520_SOLADES1RWL_PAIN00800102.xml","20250520","SOLADES1RWL","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/20250730_SEPA_CT_DM_V9.xml","to_check/archive/original_snapshot/20250730_DEUTNL2AXXX_PAIN00100109.xml","20250730","DEUTNL2AXXX","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/20250905_SEPA_PAYOFF_DOCMORRIS.xml","to_check/archive/original_snapshot/20250905_HYVEDEMM473_PAIN00100103.xml","20250905","HYVEDEMM473","PAIN00100103","RENAMED"
"to_check/archive/original_snapshot/20251006_SEPA_LN_GS.xml","to_check/archive/original_snapshot/20251003_HYVEDEMM473_PAIN00100109.xml","20251003","HYVEDEMM473","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/20251218_VELBERT_CT.xml","to_check/archive/original_snapshot/20251218_WELADED1VEL_PAIN00100109.xml","20251218","WELADED1VEL","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/410_SEPA_DD.xml","to_check/archive/original_snapshot/20241016_HYVEDEMM473_PAIN00800108_1.xml","20241016","HYVEDEMM473","PAIN00800108","RENAMED"
"to_check/archive/original_snapshot/P2S_1000.xml","to_check/archive/original_snapshot/20250219_SOLADES1RWL_PAIN00800102.xml","20250219","SOLADES1RWL","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/P2S_1100.xml","to_check/archive/original_snapshot/20250219_SOLADES1RWL_PAIN00800102_1.xml","20250219","SOLADES1RWL","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/Q2D_CT_KSK.xml","to_check/archive/original_snapshot/20250123_SOLADES1RWL_PAIN00100109.xml","20250123","SOLADES1RWL","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/Q2D_DD_KSK.xml","to_check/archive/original_snapshot/20250124_SOLADES1RWL_PAIN00800102.xml","20250124","SOLADES1RWL","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/Q2S_CT_1000_KSK.xml","to_check/archive/original_snapshot/20250123_SOLADES1RWL_PAIN00100109_1.xml","20250123","SOLADES1RWL","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/Q2S_CT_1100_VOB.xml","to_check/archive/original_snapshot/20250123_GENODES1VRW_PAIN00100109_1.xml","20250123","GENODES1VRW","PAIN00100109","RENAMED"
"to_check/archive/original_snapshot/Q2S_DD_1000_KSK.xml","to_check/archive/original_snapshot/20250124_SOLADES1RWL_PAIN00800102_1.xml","20250124","SOLADES1RWL","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/Sperr_A.xml","to_check/archive/original_snapshot/20250219_SOLADES1RWL_PAIN00800102_2.xml","20250219","SOLADES1RWL","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/dd_change_2.xml","to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_1.xml","20250218","SOLADES1RWL","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/lk002_dd.xml","to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_2.xml","20250218","SOLADES1RWL","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/q2s_410_001.xml","to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_3.xml","20250218","SOLADES1RWL","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/q2s_410_002.xml","to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_4.xml","20250218","SOLADES1RWL","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/q2s_dd_1.xml","to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_5.xml","20250218","SOLADES1RWL","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/q2s_dd_2 (1).xml","to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_6.xml","20250218","SOLADES1RWL","PAIN00800102","RENAMED"
"to_check/archive/original_snapshot/q2s_dd_2.xml","to_check/archive/original_snapshot/20250218_SOLADES1RWL_PAIN00800102_7.xml","20250218","SOLADES1RWL","PAIN00800102","RENAMED"
